x,y,z
215,414,a
218,411,a
220,409,a
222,408,a
222,407,a
223,406,a
225,404,a
227,401,a
229,397,a
230,390,a
233,384,a
234,378,a
237,368,a
240,363,a
241,359,a
242,358,a
243,355,a
244,352,a
245,348,a
245,347,a
245,345,a
245,343,a
245,342,a
245,340,a
216,416,a
217,415,a
223,415,a
229,414,a
235,412,a
238,411,a
244,409,a
253,405,a
261,402,a
269,397,a
281,391,a
287,387,a
292,384,a
295,383,a
298,381,a
302,378,a
303,377,a
306,374,a
307,372,a
311,366,a
314,360,a
316,356,a
317,354,a
317,353,a
317,352,a
317,351,a
317,350,a
317,349,a
317,348,a
318,347,a
320,347,a
327,347,a
345,346,a
366,343,a
382,341,a
387,340,a
389,340,a
390,340,a
402,340,a
412,338,a
421,338,a
427,337,a
429,336,a
435,336,a
443,335,a
457,333,a
468,331,a
474,329,a
475,329,a
476,329,a
478,329,a
481,329,a
484,328,a
486,327,a
488,327,a
489,327,a
491,326,a
495,325,a
499,324,a
503,323,a
504,323,a
504,322,a
505,322,a
506,322,a
507,321,a
508,320,a
509,319,a
510,319,a
511,317,a
512,316,a
513,316,a
514,315,a
516,313,a
518,311,a
520,309,a
520,308,a
521,307,a
523,305,a
524,304,a
525,301,a
526,300,a
527,300,a
527,298,a
528,297,a
530,295,a
531,294,a
532,293,a
533,290,a
535,288,a
535,286,a
535,285,a
535,284,a
527,284,a
518,284,a
510,284,a
500,284,a
498,284,a
496,283,a
495,283,a
493,282,a
492,282,a
490,282,a
489,282,a
487,282,a
483,281,a
479,279,a
476,279,a
473,277,a
468,277,a
462,276,a
458,275,a
453,274,a
447,273,a
442,272,a
438,271,a
432,270,a
429,268,a
423,268,a
418,267,a
415,266,a
414,266,a
416,266,a
423,266,a
427,266,a
431,264,a
437,263,a
443,261,a
449,259,a
454,258,a
459,256,a
464,255,a
469,253,a
471,253,a
476,252,a
483,248,a
488,247,a
497,245,a
503,243,a
508,242,a
511,241,a
514,241,a
518,240,a
522,239,a
525,239,a
527,239,a
529,238,a
448,271,a
454,268,a
456,267,a
456,266,a
457,265,a
459,265,a
461,263,a
462,263,a
463,262,a
465,261,a
465,262,a
465,264,a
465,267,a
465,271,a
465,273,a
465,277,a
465,280,a
465,282,a
465,284,a
466,284,a
467,284,a
468,284,a
469,283,a
471,282,a
471,280,a
472,277,a
474,274,a
475,272,a
476,270,a
477,268,a
478,267,a
478,266,a
480,263,a
482,262,a
483,261,a
484,261,a
487,262,a
490,266,a
494,272,a
494,273,a
496,276,a
497,277,a
498,278,a
499,279,a
502,278,a
505,272,a
507,267,a
509,263,a
509,262,a
510,262,a
511,262,a
513,262,a
515,262,a
515,263,a
518,265,a
519,269,a
521,270,a
521,271,a
524,273,a
525,274,a
525,276,a
527,278,a
528,281,a
529,281,a
464,255,a
464,257,a
465,259,a
466,260,a
468,263,a
470,265,a
471,266,a
472,267,a
473,267,a
474,267,a
475,266,a
476,264,a
477,263,a
478,261,a
480,256,a
480,255,a
480,254,a
480,253,a
480,251,a
481,251,a
481,250,a
482,250,a
483,250,a
488,252,a
491,255,a
493,256,a
494,257,a
494,258,a
496,258,a
497,259,a
499,259,a
500,259,a
502,259,a
503,259,a
504,257,a
506,253,a
506,249,a
506,247,a
506,246,a
506,244,a
507,244,a
508,244,a
510,246,a
512,248,a
514,250,a
515,251,a
516,251,a
518,252,a
519,252,a
520,253,a
521,253,a
522,253,a
523,253,a
524,253,a
525,253,a
526,252,a
527,249,a
528,244,a
528,242,a
528,241,a
529,237,a
528,234,a
527,232,a
525,229,a
524,227,a
523,226,a
522,224,a
520,223,a
515,220,a
511,218,a
508,217,a
504,216,a
501,215,a
499,214,a
496,213,a
495,213,a
492,213,a
490,212,a
486,212,a
482,212,a
480,212,a
478,212,a
475,211,a
474,211,a
472,211,a
469,211,a
463,211,a
457,211,a
451,211,a
447,211,a
444,211,a
439,211,a
436,211,a
427,211,a
422,211,a
417,211,a
412,211,a
411,211,a
407,211,a
399,211,a
389,211,a
383,211,a
378,211,a
377,211,a
371,211,a
366,211,a
360,211,a
355,211,a
351,211,a
348,210,a
344,210,a
340,210,a
333,210,a
326,210,a
317,210,a
309,210,a
305,210,a
301,210,a
296,211,a
288,212,a
282,213,a
279,214,a
278,214,a
277,214,a
276,214,a
274,214,a
273,214,a
272,214,a
270,214,a
269,214,a
267,215,a
264,215,a
262,215,a
261,215,a
259,215,a
258,216,a
257,216,a
256,216,a
255,216,a
253,216,a
252,217,a
250,217,a
249,217,a
247,217,a
246,217,a
245,217,a
243,218,a
241,218,a
238,218,a
237,218,a
236,218,a
235,218,a
234,218,a
232,219,a
231,219,a
229,220,a
228,220,a
227,220,a
226,221,a
224,222,a
223,222,a
222,222,a
218,223,a
217,224,a
213,225,a
210,226,a
209,227,a
207,227,a
205,228,a
203,228,a
202,228,a
199,228,a
197,229,a
195,229,a
193,229,a
190,230,a
186,231,a
183,231,a
179,232,a
175,232,a
173,232,a
169,234,a
163,235,a
158,237,a
153,239,a
150,239,a
148,240,a
147,240,a
143,242,a
141,242,a
139,242,a
137,243,a
136,243,a
135,243,a
134,243,a
125,234,a
114,221,a
105,215,a
92,205,a
81,197,a
76,193,a
72,190,a
70,187,a
68,186,a
67,185,a
65,184,a
65,187,a
66,195,a
66,207,a
66,222,a
66,247,a
66,266,a
66,283,a
66,302,a
66,319,a
66,334,a
66,355,a
66,366,a
66,370,a
67,376,a
68,382,a
68,385,a
70,387,a
70,388,a
71,387,a
79,379,a
81,377,a
85,370,a
90,362,a
96,355,a
104,345,a
110,337,a
117,331,a
120,328,a
122,326,a
123,326,a
126,324,a
128,323,a
130,321,a
132,319,a
137,315,a
138,314,a
139,313,a
141,314,a
154,317,a
176,322,a
196,328,a
207,331,a
209,332,a
210,332,a
213,333,a
217,333,a
226,337,a
229,338,a
231,339,a
234,339,a
238,340,a
246,341,a
249,341,a
250,342,a
251,342,a
253,342,a
254,342,a
256,343,a
263,262,a
258,260,a
256,257,a
252,249,a
249,244,a
244,237,a
240,232,a
236,226,a
231,221,a
228,218,a
225,214,a
222,212,a
221,211,a
221,210,a
218,206,a
216,204,a
214,202,a
212,199,a
209,195,a
208,195,a
208,194,a
209,194,a
216,194,a
220,194,a
226,196,a
232,199,a
248,204,a
260,210,a
276,214,a
280,215,a
285,218,a
297,225,a
306,229,a
311,232,a
318,236,a
323,241,a
326,243,a
328,244,a
329,245,a
375,306,a
376,306,a
385,306,a
390,306,a
394,307,a
398,307,a
402,307,a
404,307,a
407,307,a
407,306,a
407,303,a
405,299,a
404,299,a
404,298,a
404,297,a
403,296,a
402,296,a
401,295,a
400,295,a
399,295,a
398,293,a
397,293,a
392,295,a
389,298,a
387,298,a
385,299,a
382,300,a
381,301,a
379,302,a
378,302,a
377,304,a
376,304,a
